"","year","social_capital","absence_exclusion","absence_capture","vdeminformal","btiinformal","informal_channels","vdeminstitutional","btiinstitutional","institutional_channels","vdemcso","bticso","intermediary_channels","civil_capacity","quality_interface","resilience","v2cagenmob","percept_civicspace","natgov_confidence"
"1",1789,NA,NA,-0.837304839259755,NA,NA,NA,-0.817126251351252,NA,NA,-0.648686723435034,NA,NA,NA,NA,NA,NA,NA,NA
"2",1790,NA,NA,-0.846656986899939,NA,NA,NA,-0.814049170317059,NA,NA,-0.646358665580211,NA,NA,NA,NA,NA,NA,NA,NA
"3",1791,NA,NA,-0.808840889994843,NA,NA,NA,-0.810317391190484,NA,NA,-0.646358665580211,NA,NA,NA,NA,NA,NA,NA,NA
"4",1792,NA,NA,-0.808840889994843,NA,NA,NA,-0.809859102525816,NA,NA,-0.631189383536642,NA,NA,NA,NA,NA,NA,NA,NA
"5",1793,NA,NA,-0.808840889994843,NA,NA,NA,-0.809793632716578,NA,NA,-0.65497743295764,NA,NA,NA,NA,NA,NA,NA,NA
"6",1794,NA,NA,-0.81309680210842,NA,NA,NA,-0.832642596140697,NA,NA,-0.65497743295764,NA,NA,NA,NA,NA,NA,NA,NA
"7",1795,NA,NA,-0.813261189769466,NA,NA,NA,-0.794119565204878,NA,NA,-0.681198351069422,NA,NA,NA,NA,NA,NA,NA,NA
"8",1796,NA,NA,-0.822082414168125,NA,NA,NA,-0.842060895841102,NA,NA,-0.679968296012152,NA,NA,NA,NA,NA,NA,NA,NA
"9",1797,NA,NA,-0.815709011355417,NA,NA,NA,-0.818756761362279,NA,NA,-0.679968296012152,NA,NA,NA,NA,NA,NA,NA,NA
"10",1798,NA,NA,-0.759172857933388,NA,NA,NA,-0.847301881609206,NA,NA,-0.674001321318037,NA,NA,NA,NA,NA,NA,NA,NA
"11",1799,NA,NA,-0.759172857933388,NA,NA,NA,-0.849013024350658,NA,NA,-0.674782168606253,NA,NA,NA,NA,NA,NA,NA,NA
"12",1800,NA,NA,-0.801890417055526,NA,NA,NA,-0.849013024350658,NA,NA,-0.701489165295872,NA,NA,NA,NA,NA,NA,NA,NA
