"","year","wbregion","social_capital","absence_exclusion","absence_capture","vdeminformal","btiinformal","informal_channels","vdeminstitutional","btiinstitutional","institutional_channels","vdemcso","bticso","intermediary_channels","civil_capacity","quality_interface","resilience","v2cagenmob","percept_civicspace","natgov_confidence"
"1",1789,"Latin America & Caribbean",NA,NA,-1.09887219419984,NA,NA,NA,-0.898335002730271,NA,NA,-0.765028593941783,NA,NA,NA,NA,NA,NA,NA,NA
"2",1790,"Latin America & Caribbean",NA,NA,-1.04317932828158,NA,NA,NA,-0.898335002730271,NA,NA,-0.669039036801427,NA,NA,NA,NA,NA,NA,NA,NA
"3",1791,"Latin America & Caribbean",NA,NA,-0.804937917779477,NA,NA,NA,-0.898335002730271,NA,NA,-0.669039036801427,NA,NA,NA,NA,NA,NA,NA,NA
"4",1792,"Latin America & Caribbean",NA,NA,-0.804937917779477,NA,NA,NA,-0.898335002730271,NA,NA,-0.669039036801427,NA,NA,NA,NA,NA,NA,NA,NA
"5",1793,"Latin America & Caribbean",NA,NA,-0.804937917779477,NA,NA,NA,-0.898335002730271,NA,NA,-0.669039036801427,NA,NA,NA,NA,NA,NA,NA,NA
"6",1794,"Latin America & Caribbean",NA,NA,-0.83175016409501,NA,NA,NA,-0.898335002730271,NA,NA,-0.669039036801427,NA,NA,NA,NA,NA,NA,NA,NA
"7",1795,"Latin America & Caribbean",NA,NA,-0.83175016409501,NA,NA,NA,-0.898335002730271,NA,NA,-0.669039036801427,NA,NA,NA,NA,NA,NA,NA,NA
"8",1796,"Latin America & Caribbean",NA,NA,-0.83175016409501,NA,NA,NA,-0.898335002730271,NA,NA,-0.669039036801427,NA,NA,NA,NA,NA,NA,NA,NA
"9",1797,"Latin America & Caribbean",NA,NA,-0.83175016409501,NA,NA,NA,-0.898335002730271,NA,NA,-0.669039036801427,NA,NA,NA,NA,NA,NA,NA,NA
"10",1798,"Latin America & Caribbean",NA,NA,-0.83175016409501,NA,NA,NA,-0.898335002730271,NA,NA,-0.741216655887645,NA,NA,NA,NA,NA,NA,NA,NA
